date,flow_usd
2024-01-11,111.7
2024-01-12,386.0
2024-01-16,212.7
2024-01-17,371.4
2024-01-18,145.5
2024-01-19,201.5
2024-01-22,260.6
2024-01-23,160.1
2024-01-24,66.2
2024-01-25,170.7
2024-01-26,87.1
2024-01-29,198.4
2024-01-30,299.2
2024-01-31,116.2
2024-02-01,163.9
2024-02-02,105.8
2024-02-05,137.3
2024-02-06,45.2
2024-02-07,56.2
2024-02-08,204.1
2024-02-09,250.7
2024-02-12,374.7
2024-02-13,493.1
2024-02-14,224.3
2024-02-15,330.9
2024-02-16,191.4
2024-02-20,154.3
2024-02-21,96.5
2024-02-22,125.1
2024-02-23,167.5
2024-02-26,111.8
2024-02-27,520.2
2024-02-28,612.1
2024-02-29,603.9
2024-03-01,202.5
2024-03-04,420.1
2024-03-05,788.3
2024-03-06,281.7
2024-03-07,244.2
2024-03-08,336.3
2024-03-11,562.9
2024-03-12,849.0
2024-03-13,586.5
2024-03-14,345.4
2024-03-15,139.8
2024-03-18,451.5
2024-03-19,75.2
2024-03-20,49.3
2024-03-21,233.4
2024-03-22,18.9
2024-03-25,35.5
2024-03-26,162.2
2024-03-27,323.8
2024-03-28,95.1
2024-04-01,165.9
2024-04-02,150.5
2024-04-03,42.0
2024-04-04,144.0
2024-04-05,308.8
2024-04-08,21.3
2024-04-09,128.7
2024-04-10,33.3
2024-04-11,192.1
2024-04-12,111.1
2024-04-15,73.4
2024-04-16,25.8
2024-04-17,18.1
2024-04-18,18.8
2024-04-19,29.3
2024-04-22,19.7
2024-04-23,37.9
2024-04-24,0.0
2024-04-25,0.0
2024-04-26,0.0
2024-04-29,0.0
2024-04-30,0.0
2024-05-01,-36.9
2024-05-02,0.0
2024-05-03,12.7
2024-05-06,21.5
2024-05-07,0.0
2024-05-08,0.0
2024-05-09,14.2
2024-05-10,12.4
2024-05-13,0.0
2024-05-14,0.0
2024-05-15,0.0
2024-05-16,93.7
2024-05-17,38.1
2024-05-20,66.4
2024-05-21,290.0
2024-05-22,92.0
2024-05-23,89.0
2024-05-24,182.1
2024-05-28,102.5
2024-05-29,24.6
2024-05-30,1.6
2024-05-31,169.1
2024-06-03,0.0
2024-06-04,274.4
2024-06-05,155.4
2024-06-06,349.9
2024-06-07,168.3
2024-06-10,6.3
2024-06-11,0.0
2024-06-12,15.6
2024-06-13,18.2
2024-06-14,1.5
2024-06-17,0.0
2024-06-18,0.0
2024-06-20,1.5
2024-06-21,0.0
2024-06-24,0.0
2024-06-25,0.0
2024-06-26,0.0
2024-06-27,0.0
2024-06-28,82.4
2024-07-01,0.0
2024-07-02,14.1
2024-07-03,0.0
2024-07-05,0.0
2024-07-08,187.2
2024-07-09,121.0
2024-07-10,22.2
2024-07-11,72.1
2024-07-12,120.0
2024-07-15,117.2
2024-07-16,260.2
2024-07-17,110.4
2024-07-18,102.7
2024-07-19,116.2
2024-07-22,526.7
2024-07-23,71.9
2024-07-24,66.0
2024-07-25,70.7
2024-07-26,23.2
2024-07-29,205.6
2024-07-30,74.9
2024-07-31,21.0
2024-08-01,25.9
2024-08-02,42.8
2024-08-05,0.0
